0-Repetition, 1-MHType, 2-TeamID, 3-WorkerID, 4-Time, 5-iters, 6-Cost, 7-HitTarget, 8-APD, 9-nChanges, 10-Solution
0,ROT,1,2,5.024878967,45704,3149734,0,0.33012993052746253,0, 17 11 9 31 3 35 22 20 5 34 19 27 6 16 8 4 38 23 37 32 28 15 30 26 2 18 7 14 12 21 29 1 0 36 10 24 13 33 25 39 
1,EO,0,1,5.008341522,73413,3154282,0,0.4749997610985644,0, 5 17 10 20 16 26 8 19 22 7 4 1 29 24 3 30 35 28 14 2 33 13 36 27 32 25 12 15 37 39 0 38 6 23 18 21 11 31 9 34 
2,ROT,1,2,5.011277964,63613,3163724,0,0.7757607418048844,0, 9 20 0 35 24 2 7 10 26 34 33 27 3 37 17 11 30 12 19 31 32 5 4 38 18 25 23 39 16 22 21 28 6 29 1 13 36 8 15 14 
3,ROT,0,1,5.011674728,46361,3151992,0,0.4020551894169849,0, 13 5 20 3 2 34 19 18 9 37 4 6 28 25 24 38 10 31 1 14 12 7 0 33 26 29 30 22 39 36 23 15 32 21 11 8 35 16 17 27 
4,EO,0,1,5.031852823,51759,3154054,0,0.4677371574551582,0, 35 30 22 28 17 29 38 25 24 21 31 15 10 9 27 18 6 19 5 33 3 4 26 32 11 12 8 14 7 2 23 20 39 36 1 13 0 16 37 34 
5,EO,1,2,5.038341214,42574,3141702,0,0.07428241972115425,0, 11 36 24 3 15 34 0 1 9 14 19 38 28 4 18 27 31 32 12 26 33 13 8 6 20 23 30 5 7 21 37 17 10 35 25 22 39 2 16 29 
6,ROT,0,1,5.01224246,51202,3151670,0,0.3917983544469113,0, 1 14 9 5 24 35 33 10 36 12 29 23 4 27 16 0 17 25 37 31 30 8 38 18 22 21 26 39 15 13 20 11 6 32 28 2 19 34 3 7 
7,EO,0,1,5.03453309,53307,3149322,0,0.3170062783297286,0, 1 32 39 27 2 9 22 5 21 14 0 17 11 7 8 38 30 18 3 36 28 15 37 25 31 4 16 35 13 33 23 12 20 10 6 19 24 34 29 26 
8,ROT,0,1,5.016255716,44827,3161736,0,0.712435934598343,0, 1 20 27 8 16 18 35 10 14 12 39 21 37 9 13 7 17 25 0 32 30 24 38 4 22 29 33 23 15 31 26 11 6 28 36 2 19 34 3 5 
9,ROT,0,1,5.011200359,41523,3152374,0,0.4142232358721654,0, 12 5 24 35 34 29 20 18 23 37 13 6 28 11 31 26 30 10 1 9 2 39 0 33 17 25 8 3 21 22 19 38 32 14 16 7 36 27 15 4 
tai40a,6-0-4 , , ,5.020059884300001,51428.3,3153059.0,0,0.4360429003271357,0.0,
